filename,CountryName,surveyyr,Gini,Polarisation_0,Polarisation_-2,Mean
EGHR21DT,"Egypt, Arab Republic of",1993,0.211087695218199,0.24202051925679,0.27630928474424,-1.05930828389258
EGHR33DT,"Egypt, Arab Republic of",1996,0.187884868237634,0.255425338857344,0.248225221933969,-1.25301078153931
EGHR42DT,"Egypt, Arab Republic of",2000,0.153751495003514,0.177772852988642,0.355770524769489,-0.862869535559333
EGHR4ADT,"Egypt, Arab Republic of",2003,0.110998005950357,0.116247959349549,0.424593360805175,-0.87744739110653
EGHR51DT,"Egypt, Arab Republic of",2005,0.139483753082574,0.1721049211623,0.347352744341725,-0.706649078627271
EGHR5ADT,"Egypt, Arab Republic of",2008,0.214896289791223,0.230193704352484,0.303834086824237,-1.00924605133364
EGHR61DT,"Egypt, Arab Republic of",2014,0.229376408188812,0.202861866875176,0.399213698217151,-0.56908225764836
ETHR41DT,Ethiopia,2000,0.279478192823419,0.48582655244559,0.194106600916333,-2.05636171550211
ETHR51DT,Ethiopia,2005,0.272798882545485,0.373461526428096,0.247767065406323,-1.77404840843363
ETHR61DT,Ethiopia,2011,0.254224092434048,0.394802252913069,0.203646531502484,-1.69045387548582
ETHR70DT,Ethiopia,2016,0.2423331211377,0.320128579324138,0.231176502238135,-1.43543945462161
GAHR41DT,Gabon,2001,0.100749576085697,0.157979533550227,0.364428271739528,-0.891335209326219
GAHR60DT,Gabon,2012,0.0410320752094435,0.102731009921231,0.446304629835823,-0.697093237520069
GHHR31DT,Ghana,1994,0.165678479727396,0.217938231666951,0.275867743540031,-1.12756325632563
GHHR41DT,Ghana,1999,0.153937105430303,0.243222797450529,0.25169946487447,-1.136558805213
GHHR4BDT,Ghana,2003,0.155091326742701,0.259262721741067,0.225047792555161,-1.27312958772752
GHHR5ADT,Ghana,2008,0.183460735373025,0.226106089454486,0.264699199330613,-1.08403888588876
GHHR72DT,Ghana,2014,0.117167716021108,0.198769172745093,0.333984397568236,-0.935048992588499
GMHR60DT,"Gambia, The",2013,0.139261146751788,0.207136648765908,0.304306309891678,-1.01229005773527
GNHR41DT,Guinea,1999,0.182559326853522,0.211305601658648,0.294185554740095,-1.00529820334665
GNHR52DT,Guinea,2005,0.201404667531977,0.287004862475968,0.246126884530739,-1.30598412223772
GNHR62DT,Guinea,2012,0.206387023591691,0.228555959886255,0.287994828016115,-1.11237036834181
GUHR34DT,Guatemala,1995,0.128558374084921,0.477836054866538,0.0875283274399346,-1.98024439949567
GUHR41DT,Guatemala,1999,0.125446086921585,0.445333255236896,0.0774917952035249,-1.90993325230014
GUHR71DT,Guatemala,2015,0.171703210153653,0.421343968788897,0.13580001222592,-1.88869251044834
GYHR5IDT,Guyana,2009,0.100446133989359,0.178791159632569,0.319104125926455,-0.865702358634557
HNHR52DT,Honduras,2006,0.0933399886104724,0.287497650500064,0.181331134310475,-1.34084355715352
HNHR62DT,Honduras,2012,0.0955791877660348,0.221997798658467,0.277153687451156,-1.1117866262887
HTHR31DT,Haiti,1995,0.194197100878304,0.263415912904878,0.241589032861798,-1.36303583173874
HTHR42DT,Haiti,2000,0.123398504476815,0.173088326614063,0.349927727225762,-0.986361746833448
HTHR52DT,Haiti,2006,0.143012248361345,0.219340460098486,0.269267156775743,-1.09289009174579
HTHR61DT,Haiti,2012,0.131632956919327,0.191978778853705,0.336741597843662,-0.966075529158661
HTHR70DT,Haiti,2017,0.153971497248444,0.190320228637311,0.306328946632478,-0.956731309479862
IAHR23DT,India,1993,0.282755445839949,0.426141161352277,0.237679228413921,-2.04307765648528
IAHR42DT,India,1999,0.247947737573756,0.382453802063177,0.200428045813512,-1.81158514376035
IAHR52DT,India,2006,0.27084671064855,0.398080640625741,0.231269765798864,-1.85493302220846
IAHR74DT,India,2016,0.205468130037988,0.317747791862864,0.203247099445275,-1.4811966127874
